Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,Attrition,Age_Group,Distance_Group,HourlyRate_Group,MonthlyIncome_Group,MonthlyRate_Group,DailyRate_Group,PercentSalaryHike_Group
33.0,Travel_Rarely,802.7306374228924,Research & Development,2.0,College,Life Sciences,Low,Female,39.0,High,1.0,Laboratory Technician,Low,Married,2707.0,21509.0,7.0,No,20.0,Outstanding,Low,3.0,Best,Yes,Age_group 2,Distance_1,HourlyRate_1,Income_2,Rate_4,DailyRate_3,PercentSalaryHike_5
52.0,Non-Travel,771.0,Sales,2.0,Master,Life Sciences,Low,Male,79.0,Medium,5.0,Manager,High,Single,19068.0,21030.0,1.0,Yes,18.0,Excellent,Very High,2.0,Best,No,Age_group 5,Distance_1,HourlyRate_4,Income_5,Rate_4,DailyRate_3,PercentSalaryHike_4
32.0,Travel_Rarely,1401.0,Sales,4.0,College,Life Sciences,High,Female,56.0,High,1.0,Sales Representative,Medium,Married,3931.0,20990.0,2.0,No,11.0,Excellent,Low,5.0,Better,No,Age_group 2,Distance_2,HourlyRate_2,Income_2,Rate_4,DailyRate_5,PercentSalaryHike_1
32.0,Travel_Rarely,515.0,Research & Development,1.0,Bachelor,Life Sciences,Very High,Male,62.0,Medium,1.0,Laboratory Technician,High,Single,3730.0,9571.0,0.0,Yes,14.0,Excellent,Very High,2.0,Bad,Yes,Age_group 2,Distance_1,HourlyRate_3,Income_2,Rate_2,DailyRate_2,PercentSalaryHike_3
39.0,Travel_Rarely,1431.0,Research & Development,1.0,Master,Medical,High,Female,96.0,High,1.0,Laboratory Technician,High,Divorced,2232.0,15417.0,7.0,No,14.0,Excellent,High,1.0,Better,No,Age_group 4,Distance_1,HourlyRate_5,Income_1,Rate_3,DailyRate_5,PercentSalaryHike_3
32.0,Non-Travel,976.0,Sales,26.0,Master,Marketing,High,Male,100.0,High,2.0,Sales Executive,Very High,Married,4465.0,12069.0,0.0,No,18.0,Excellent,Low,2.0,Better,No,Age_group 2,Distance_5,HourlyRate_5,Income_3,Rate_3,DailyRate_4,PercentSalaryHike_4
41.0,Travel_Rarely,1411.0,Research & Development,19.0,College,Life Sciences,High,Male,36.0,High,2.0,Research Scientist,Low,Divorced,3072.0,19877.0,2.0,No,16.0,Excellent,Low,2.0,Good,No,Age_group 4,Distance_5,HourlyRate_1,Income_2,Rate_4,DailyRate_5,PercentSalaryHike_4
40.0,Travel_Rarely,1300.0,Research & Development,24.0,College,Technical Degree,Low,Male,62.0,High,2.0,Research Scientist,Very High,Divorced,3319.0,24447.0,1.0,No,17.0,Excellent,Low,3.0,Better,No,Age_group 4,Distance_5,HourlyRate_3,Income_2,Rate_5,DailyRate_5,PercentSalaryHike_4
45.0,Travel_Rarely,252.0,Research & Development,1.0,Bachelor,Other,High,Male,70.0,Very High,5.0,Manager,Very High,Married,19202.0,15970.0,0.0,No,11.0,Excellent,High,2.0,Better,No,Age_group 4,Distance_1,HourlyRate_3,Income_5,Rate_3,DailyRate_1,PercentSalaryHike_1
31.0,Travel_Frequently,1327.0,Research & Development,3.0,Master,Medical,Medium,Male,73.0,High,3.0,Research Director,High,Divorced,13675.0,13523.0,9.0,No,12.0,Excellent,Low,2.0,Better,No,Age_group 2,Distance_2,HourlyRate_3,Income_5,Rate_3,DailyRate_5,PercentSalaryHike_1
33.0,Travel_Rarely,832.0,Research & Development,5.0,Master,Life Sciences,High,Female,63.0,Medium,1.0,Research Scientist,Very High,Married,2911.0,14776.0,1.0,No,13.0,Excellent,High,2.0,Good,No,Age_group 2,Distance_2,HourlyRate_3,Income_2,Rate_3,DailyRate_3,PercentSalaryHike_2
34.0,Travel_Rarely,470.0,Research & Development,2.0,Bachelor,Life Sciences,Very High,Male,84.0,Medium,2.0,Manufacturing Director,Low,Married,5957.0,23687.0,6.0,No,13.0,Excellent,Medium,3.0,Better,No,Age_group 2,Distance_1,HourlyRate_4,Income_4,Rate_5,DailyRate_2,PercentSalaryHike_2
37.0,Travel_Rarely,1017.0,Research & Development,1.0,College,Medical,High,Female,83.0,Medium,1.0,Research Scientist,Low,Married,3920.0,18697.0,2.0,No,14.0,Excellent,Low,2.0,Good,No,Age_group 3,Distance_1,HourlyRate_4,Income_2,Rate_4,DailyRate_4,PercentSalaryHike_3
45.0,Travel_Frequently,1199.0,Research & Development,7.0,Master,Life Sciences,Low,Male,77.0,Very High,2.0,Manufacturing Director,High,Married,6434.0,5118.0,4.0,No,17.0,Excellent,Very High,1.0,Better,No,Age_group 4,Distance_3,HourlyRate_4,Income_4,Rate_1,DailyRate_4,PercentSalaryHike_4
37.0,Travel_Frequently,504.0,Research & Development,10.0,Bachelor,Medical,Low,Male,61.0,High,3.0,Manufacturing Director,High,Divorced,10048.0,22573.0,6.0,No,11.0,Excellent,Medium,5.0,Better,Yes,Age_group 3,Distance_4,HourlyRate_3,Income_5,Rate_5,DailyRate_2,PercentSalaryHike_1
39.0,Travel_Frequently,505.0,Research & Development,2.0,Master,Technical Degree,High,Female,64.0,High,3.0,Healthcare Representative,High,Single,10938.0,6420.0,0.0,No,25.0,Outstanding,Very High,1.0,Better,No,Age_group 4,Distance_1,HourlyRate_3,Income_5,Rate_1,DailyRate_2,PercentSalaryHike_5
29.0,Travel_Rarely,665.0,Research & Development,15.0,Bachelor,Life Sciences,High,Male,60.0,High,1.0,Research Scientist,Very High,Single,2340.0,22673.0,1.0,No,19.0,Excellent,Low,1.0,Better,No,Age_group 1,Distance_4,HourlyRate_3,Income_1,Rate_5,DailyRate_3,PercentSalaryHike_4
42.0,Travel_Rarely,916.0,Research & Development,17.0,College,Life Sciences,Very High,Female,82.0,Very High,2.0,Research Scientist,Low,Single,6545.0,23016.0,3.0,Yes,15.206064782908339,Excellent,High,1.0,Better,No,Age_group 4,Distance_5,HourlyRate_4,Income_4,Rate_5,DailyRate_3,PercentSalaryHike_4
29.0,Travel_Rarely,1247.0,Sales,20.0,College,Marketing,Very High,Male,45.0,High,2.0,Sales Executive,Very High,Divorced,6931.0,10732.0,2.0,No,14.0,Excellent,Very High,2.0,Better,No,Age_group 1,Distance_5,HourlyRate_1,Income_4,Rate_2,DailyRate_5,PercentSalaryHike_3
25.0,Travel_Rarely,685.0,Research & Development,1.0,Bachelor,Life Sciences,Low,Female,62.0,High,2.0,Manufacturing Director,High,Married,4898.0,7505.0,0.0,No,12.0,Excellent,Very High,3.0,Better,No,Age_group 1,Distance_1,HourlyRate_3,Income_3,Rate_2,DailyRate_3,PercentSalaryHike_1
42.0,Travel_Rarely,269.0,Research & Development,2.0,Bachelor,Medical,Very High,Female,56.0,Medium,1.0,Laboratory Technician,Low,Divorced,2593.0,8007.0,0.0,Yes,11.0,Excellent,High,4.0,Better,No,Age_group 4,Distance_1,HourlyRate_2,Income_1,Rate_2,DailyRate_1,PercentSalaryHike_1
40.0,Travel_Rarely,1416.0,Research & Development,2.0,College,Medical,Low,Male,49.0,High,5.0,Research Director,High,Divorced,19436.0,5949.0,0.0,No,19.0,Excellent,Very High,5.0,Better,No,Age_group 4,Distance_1,HourlyRate_2,Income_5,Rate_1,DailyRate_5,PercentSalaryHike_4
51.0,Travel_Rarely,833.0,Research & Development,1.0,Bachelor,Life Sciences,High,Male,96.0,High,1.0,Research Scientist,Very High,Married,2723.0,23231.0,1.0,No,11.0,Excellent,Medium,0.0,Good,No,Age_group 5,Distance_1,HourlyRate_5,Income_2,Rate_5,DailyRate_3,PercentSalaryHike_1
31.0,Travel_Frequently,307.0,Research & Development,29.0,College,Medical,High,Male,71.0,Medium,1.0,Laboratory Technician,Medium,Single,3479.0,11652.0,0.0,No,11.0,Excellent,Medium,2.0,Best,Yes,Age_group 2,Distance_5,HourlyRate_3,Income_2,Rate_2,DailyRate_1,PercentSalaryHike_1
32.0,Travel_Frequently,1311.0,Research & Development,7.0,Bachelor,Life Sciences,Medium,Male,100.0,Very High,1.0,Laboratory Technician,Medium,Married,2794.0,26062.0,1.0,No,20.0,Outstanding,High,3.0,Bad,No,Age_group 2,Distance_3,HourlyRate_5,Income_2,Rate_5,DailyRate_5,PercentSalaryHike_5
38.0,Non-Travel,1327.0,Sales,2.0,College,Life Sciences,Very High,Male,39.0,Medium,2.0,Sales Executive,Very High,Married,5249.0,19682.0,3.0,No,18.0,Excellent,Very High,0.0,Better,No,Age_group 3,Distance_1,HourlyRate_1,Income_3,Rate_4,DailyRate_5,PercentSalaryHike_4
32.0,Travel_Rarely,128.0,Research & Development,2.0,Below College,Technical Degree,Very High,Male,84.0,Medium,2.0,Laboratory Technician,Low,Single,2176.0,19737.0,4.0,No,13.0,Excellent,Very High,5.0,Better,No,Age_group 2,Distance_1,HourlyRate_4,Income_1,Rate_4,DailyRate_1,PercentSalaryHike_2
46.0,Travel_Rarely,488.0,Sales,2.0,Bachelor,Technical Degree,High,Female,75.0,Low,4.0,Manager,Medium,Married,16872.0,14977.0,3.0,Yes,12.0,Excellent,Medium,2.0,Good,No,Age_group 5,Distance_1,HourlyRate_4,Income_5,Rate_3,DailyRate_2,PercentSalaryHike_1
28.0,Travel_Rarely,529.0,Research & Development,2.0,Master,Life Sciences,Low,Male,79.0,High,1.0,Laboratory Technician,High,Single,3485.0,14935.0,2.0,No,11.0,Excellent,High,5.0,Bad,Yes,Age_group 1,Distance_1,HourlyRate_4,Income_2,Rate_3,DailyRate_2,PercentSalaryHike_1
29.0,Travel_Rarely,1210.0,Sales,2.0,Bachelor,Medical,Low,Male,78.0,Medium,2.0,Sales Executive,Medium,Married,6644.0,3687.0,2.0,No,19.0,Excellent,Medium,2.0,Better,No,Age_group 1,Distance_1,HourlyRate_4,Income_4,Rate_1,DailyRate_4,PercentSalaryHike_4
31.0,Travel_Rarely,1463.0,Research & Development,23.0,Bachelor,Medical,Medium,Male,64.0,Medium,2.0,Healthcare Representative,Very High,Married,5582.0,14408.0,0.0,No,21.0,Outstanding,Medium,2.0,Better,No,Age_group 2,Distance_5,HourlyRate_3,Income_3,Rate_3,DailyRate_5,PercentSalaryHike_5
25.0,Non-Travel,675.0,Research & Development,5.0,College,Life Sciences,Medium,Male,85.0,Very High,2.0,Healthcare Representative,Low,Divorced,4000.0,18384.0,1.0,No,12.0,Excellent,Very High,2.0,Better,No,Age_group 1,Distance_2,HourlyRate_4,Income_2,Rate_4,DailyRate_3,PercentSalaryHike_1
45.0,Travel_Rarely,1385.0,Research & Development,20.0,College,Medical,High,Male,79.0,High,4.0,Healthcare Representative,Very High,Married,13496.0,7501.0,0.0,Yes,14.0,Excellent,Medium,2.0,Better,No,Age_group 4,Distance_5,HourlyRate_4,Income_5,Rate_2,DailyRate_5,PercentSalaryHike_3
36.0,Travel_Rarely,1403.0,Research & Development,6.0,Bachelor,Life Sciences,Very High,Male,47.0,High,1.0,Laboratory Technician,Very High,Married,3210.0,20251.0,0.0,No,11.0,Excellent,High,4.0,Better,No,Age_group 3,Distance_3,HourlyRate_2,Income_2,Rate_4,DailyRate_5,PercentSalaryHike_1
55.0,Travel_Rarely,452.0,Research & Development,1.0,Bachelor,Medical,Very High,Male,81.0,High,5.0,Manager,Low,Single,19045.0,18938.0,0.0,Yes,14.0,Excellent,High,2.0,Better,No,Age_group 5,Distance_1,HourlyRate_4,Income_5,Rate_4,DailyRate_2,PercentSalaryHike_3
47.0,Non-Travel,666.0,Research & Development,29.0,Master,Life Sciences,Low,Male,88.0,High,3.0,Manager,Medium,Married,11849.0,10268.0,1.0,Yes,12.0,Excellent,Very High,2.0,Good,Yes,Age_group 5,Distance_5,HourlyRate_5,Income_5,Rate_2,DailyRate_3,PercentSalaryHike_1
28.0,Travel_Rarely,1158.0,Research & Development,9.0,Bachelor,Medical,Very High,Male,94.0,High,1.0,Research Scientist,Very High,Married,2070.0,2613.0,1.0,No,23.0,Outstanding,Very High,3.0,Good,No,Age_group 1,Distance_3,HourlyRate_5,Income_1,Rate_1,DailyRate_4,PercentSalaryHike_5
37.0,Travel_Rarely,228.0,Sales,6.0,Master,Medical,High,Male,98.0,High,2.0,Sales Executive,Very High,Married,6502.0,22825.0,4.0,No,14.0,Excellent,Medium,5.0,Best,No,Age_group 3,Distance_3,HourlyRate_5,Income_4,Rate_5,DailyRate_1,PercentSalaryHike_3
21.0,Travel_Rarely,996.0,Research & Development,3.0,College,Medical,Very High,Male,100.0,Medium,1.0,Research Scientist,High,Single,3230.0,10531.0,1.0,No,17.0,Excellent,Low,4.0,Best,No,Age_group 1,Distance_2,HourlyRate_5,Income_2,Rate_2,DailyRate_4,PercentSalaryHike_4
37.0,Non-Travel,728.0,Research & Development,1.0,Master,Medical,Low,Female,80.0,High,3.0,Research Director,Very High,Divorced,13603.0,11677.0,2.0,Yes,18.0,Excellent,Low,2.0,Better,No,Age_group 3,Distance_1,HourlyRate_4,Income_5,Rate_2,DailyRate_3,PercentSalaryHike_4
35.0,Travel_Rarely,1315.0,Research & Development,22.0,Bachelor,Life Sciences,Medium,Female,71.0,Very High,3.0,Manager,Medium,Divorced,11996.0,19100.0,7.0,No,18.0,Excellent,Medium,6.0,Good,No,Age_group 3,Distance_5,HourlyRate_3,Income_5,Rate_4,DailyRate_5,PercentSalaryHike_4
38.0,Travel_Rarely,322.0,Sales,7.0,College,Medical,Low,Female,44.0,Very High,2.0,Sales Executive,Low,Divorced,5605.0,19191.0,1.0,Yes,24.0,Outstanding,High,3.0,Better,No,Age_group 3,Distance_3,HourlyRate_1,Income_3,Rate_4,DailyRate_1,PercentSalaryHike_5
26.0,Travel_Frequently,1479.0,Research & Development,1.0,Bachelor,Life Sciences,High,Female,84.0,High,2.0,Manufacturing Director,Medium,Divorced,6397.0,26767.0,1.0,No,20.0,Outstanding,Low,6.0,Bad,No,Age_group 1,Distance_1,HourlyRate_4,Income_4,Rate_5,DailyRate_5,PercentSalaryHike_5
50.0,Travel_Rarely,797.0,Research & Development,4.0,Below College,Life Sciences,Low,Male,96.0,High,5.0,Research Director,Medium,Divorced,19144.0,15815.0,3.0,No,14.0,Excellent,Low,4.0,Good,No,Age_group 5,Distance_2,HourlyRate_5,Income_5,Rate_3,DailyRate_3,PercentSalaryHike_3
53.0,Travel_Rarely,1070.0,Research & Development,3.0,Master,Medical,High,Male,45.0,High,4.0,Research Director,High,Married,17584.0,21016.0,3.0,Yes,16.0,Excellent,Very High,5.0,Good,No,Age_group 5,Distance_2,HourlyRate_1,Income_5,Rate_4,DailyRate_4,PercentSalaryHike_4
42.0,Travel_Rarely,635.0,Sales,1.0,Below College,Life Sciences,Medium,Male,99.0,High,2.0,Sales Executive,High,Married,4907.0,24532.0,1.0,No,25.0,Outstanding,High,3.0,Better,No,Age_group 4,Distance_1,HourlyRate_5,Income_3,Rate_5,DailyRate_2,PercentSalaryHike_5
29.0,Travel_Frequently,442.0,Sales,2.0,College,Life Sciences,Medium,Male,65.85773195876288,High,2.0,Sales Executive,Very High,Single,4554.0,20260.0,1.0,No,18.0,Excellent,Low,3.0,Good,No,Age_group 1,Distance_1,HourlyRate_3,Income_3,Rate_4,DailyRate_2,PercentSalaryHike_4
55.0,Travel_Rarely,147.0,Research & Development,20.0,College,Technical Degree,Medium,Male,37.0,High,2.0,Laboratory Technician,Very High,Married,5415.0,15972.0,3.0,Yes,19.0,Excellent,Very High,4.0,Better,No,Age_group 5,Distance_5,HourlyRate_1,Income_3,Rate_3,DailyRate_1,PercentSalaryHike_4
26.0,Travel_Frequently,496.0,Research & Development,11.0,College,Medical,Low,Male,60.0,High,2.0,Healthcare Representative,Low,Married,4741.0,22722.0,1.0,Yes,13.0,Excellent,High,3.0,Better,No,Age_group 1,Distance_4,HourlyRate_3,Income_3,Rate_5,DailyRate_2,PercentSalaryHike_2
37.0,Travel_Rarely,1372.0,Research & Development,1.0,Bachelor,Life Sciences,Very High,Female,42.0,High,1.0,Research Scientist,Very High,Single,2115.0,15881.0,1.0,No,12.0,Excellent,Medium,3.0,Better,No,Age_group 3,Distance_1,HourlyRate_1,Income_1,Rate_3,DailyRate_5,PercentSalaryHike_1
44.0,Travel_Frequently,920.0,Research & Development,24.0,Bachelor,Life Sciences,Very High,Male,43.0,High,1.0,Laboratory Technician,High,Divorced,3161.0,19920.0,3.0,Yes,22.0,Outstanding,Very High,0.0,Bad,Yes,Age_group 4,Distance_5,HourlyRate_1,Income_2,Rate_4,DailyRate_3,PercentSalaryHike_5
38.0,Travel_Rarely,688.0,Research & Development,23.0,Master,Life Sciences,Very High,Male,82.0,High,2.0,Healthcare Representative,Very High,Divorced,5745.0,18899.0,9.0,No,14.0,Excellent,Medium,2.0,Better,No,Age_group 3,Distance_5,HourlyRate_4,Income_3,Rate_4,DailyRate_3,PercentSalaryHike_3
26.0,Travel_Rarely,1449.0,Research & Development,16.0,Master,Medical,Low,Male,45.0,High,1.0,Laboratory Technician,Medium,Divorced,2373.0,14180.0,2.0,Yes,13.0,Excellent,Very High,2.0,Better,Yes,Age_group 1,Distance_4,HourlyRate_1,Income_1,Rate_3,DailyRate_5,PercentSalaryHike_2
28.0,Travel_Rarely,1117.0,Research & Development,8.0,College,Life Sciences,Very High,Female,66.0,High,1.0,Research Scientist,Very High,Single,3310.0,4488.0,1.0,No,21.0,Outstanding,Very High,3.0,Better,No,Age_group 1,Distance_3,HourlyRate_3,Income_2,Rate_1,DailyRate_4,PercentSalaryHike_5
49.0,Travel_Frequently,636.0,Research & Development,10.0,Master,Life Sciences,High,Female,35.0,High,5.0,Research Director,Low,Single,18665.0,25594.0,9.0,Yes,11.0,Excellent,Very High,4.0,Better,No,Age_group 5,Distance_4,HourlyRate_1,Income_5,Rate_5,DailyRate_2,PercentSalaryHike_1
36.0,Travel_Rarely,506.0,Research & Development,3.0,Bachelor,Technical Degree,High,Male,30.0,High,2.0,Research Scientist,Medium,Single,4485.0,26285.0,4.0,No,12.0,Excellent,Very High,2.0,Better,No,Age_group 3,Distance_2,HourlyRate_1,Income_3,Rate_5,DailyRate_2,PercentSalaryHike_1
31.0,Travel_Frequently,444.0,Sales,5.0,Bachelor,Marketing,Very High,Female,84.0,High,1.0,Sales Representative,Medium,Divorced,2789.0,3909.0,1.0,No,11.0,Excellent,High,5.0,Good,No,Age_group 2,Distance_2,HourlyRate_4,Income_2,Rate_1,DailyRate_2,PercentSalaryHike_1
36.929014472777396,Travel_Rarely,950.0,Sales,4.0,Master,Marketing,Very High,Male,48.0,Medium,2.0,Sales Executive,Very High,Single,5828.0,8450.0,1.0,Yes,12.0,Excellent,Medium,0.0,Better,Yes,Age_group 3,Distance_2,HourlyRate_2,Income_4,Rate_2,DailyRate_4,PercentSalaryHike_1
37.0,Travel_Frequently,889.0,Research & Development,9.0,Bachelor,Medical,Medium,Male,53.0,High,1.0,Research Scientist,Very High,Married,2326.0,11411.0,1.0,Yes,12.0,Excellent,High,2.0,Good,No,Age_group 3,Distance_3,HourlyRate_2,Income_1,Rate_2,DailyRate_3,PercentSalaryHike_1
42.0,Travel_Frequently,555.0,Sales,26.0,Bachelor,Marketing,High,Female,77.0,High,4.0,Sales Executive,Medium,Married,13525.0,14864.0,5.0,No,14.0,Excellent,Very High,2.0,Best,No,Age_group 4,Distance_5,HourlyRate_4,Income_5,Rate_3,DailyRate_2,PercentSalaryHike_3
18.0,Travel_Rarely,230.0,Research & Development,3.0,Bachelor,Life Sciences,High,Male,54.0,High,1.0,Laboratory Technician,High,Single,1420.0,25233.0,1.0,No,13.0,Excellent,High,2.0,Better,Yes,Age_group 1,Distance_2,HourlyRate_2,Income_1,Rate_5,DailyRate_1,PercentSalaryHike_2
35.0,Travel_Rarely,1232.0,Sales,16.0,Bachelor,Marketing,High,Male,96.0,High,3.0,Sales Executive,Medium,Married,8020.0,5100.0,0.0,No,15.0,Excellent,High,3.0,Good,No,Age_group 3,Distance_4,HourlyRate_5,Income_4,Rate_1,DailyRate_5,PercentSalaryHike_3
36.0,Travel_Frequently,566.0,Research & Development,18.0,Master,Life Sciences,High,Male,81.0,Very High,1.0,Laboratory Technician,Very High,Married,3688.0,7122.0,4.0,No,18.0,Excellent,Very High,2.0,Better,No,Age_group 3,Distance_5,HourlyRate_4,Income_2,Rate_2,DailyRate_2,PercentSalaryHike_4
51.0,Travel_Rarely,1302.0,Research & Development,2.0,Bachelor,Medical,Very High,Male,84.0,Low,2.0,Manufacturing Director,Medium,Divorced,5482.0,16321.0,5.0,No,18.0,Excellent,Very High,3.0,Better,No,Age_group 5,Distance_1,HourlyRate_4,Income_3,Rate_3,DailyRate_5,PercentSalaryHike_4
41.0,Travel_Rarely,334.0,Sales,2.0,Master,Life Sciences,Very High,Male,88.0,High,4.0,Manager,Medium,Single,16015.0,15896.0,1.0,No,19.0,Excellent,Medium,2.0,Better,No,Age_group 4,Distance_1,HourlyRate_5,Income_5,Rate_3,DailyRate_1,PercentSalaryHike_4
18.0,Travel_Rarely,812.0,Sales,10.0,Bachelor,Medical,Very High,Female,69.0,Medium,1.0,Sales Representative,High,Single,1200.0,9724.0,1.0,No,12.0,Excellent,Low,2.0,Better,No,Age_group 1,Distance_4,HourlyRate_3,Income_1,Rate_2,DailyRate_3,PercentSalaryHike_1
28.0,Travel_Rarely,1476.0,Research & Development,16.0,College,Medical,Medium,Male,68.0,Very High,2.0,Healthcare Representative,Low,Single,5661.0,4824.0,0.0,No,19.0,Excellent,High,2.0,Better,No,Age_group 1,Distance_4,HourlyRate_3,Income_3,Rate_1,DailyRate_5,PercentSalaryHike_4
31.0,Travel_Rarely,218.0,Sales,7.0,Bachelor,Technical Degree,Medium,Male,100.0,Very High,2.0,Sales Executive,Very High,Married,6929.0,12241.0,4.0,No,11.0,Excellent,Medium,3.0,Good,No,Age_group 2,Distance_3,HourlyRate_5,Income_4,Rate_3,DailyRate_1,PercentSalaryHike_1
39.0,Travel_Rarely,1132.0,Research & Development,1.0,Bachelor,Medical,High,Male,48.0,Very High,3.0,Healthcare Representative,Very High,Divorced,9613.0,10942.0,0.0,No,17.0,Excellent,Low,5.0,Good,No,Age_group 4,Distance_1,HourlyRate_2,Income_4,Rate_2,DailyRate_4,PercentSalaryHike_4
36.0,Non-Travel,1105.0,Research & Development,24.0,Master,Life Sciences,Medium,Female,47.0,High,2.0,Laboratory Technician,Medium,Married,5674.0,6927.0,7.0,No,15.0,Excellent,High,3.0,Better,No,Age_group 3,Distance_5,HourlyRate_2,Income_3,Rate_2,DailyRate_4,PercentSalaryHike_3
32.0,Travel_Rarely,906.0,Sales,7.0,Bachelor,Life Sciences,Very High,Male,91.0,Medium,2.0,Sales Executive,High,Married,5484.0,16985.0,1.0,No,14.0,Excellent,High,3.0,Good,No,Age_group 2,Distance_3,HourlyRate_5,Income_3,Rate_4,DailyRate_3,PercentSalaryHike_3
38.0,Travel_Rarely,849.0,Research & Development,25.0,College,Life Sciences,Low,Female,81.0,Medium,3.0,Research Director,Medium,Married,12061.0,26707.0,3.0,No,17.0,Excellent,High,2.0,Better,No,Age_group 3,Distance_5,HourlyRate_4,Income_5,Rate_5,DailyRate_3,PercentSalaryHike_4
58.0,Non-Travel,390.0,Research & Development,1.0,Master,Life Sciences,Very High,Male,32.0,Low,2.0,Healthcare Representative,High,Divorced,5660.0,17056.0,2.0,Yes,13.0,Excellent,Very High,2.0,Better,No,Age_group 5,Distance_1,HourlyRate_1,Income_3,Rate_4,DailyRate_1,PercentSalaryHike_2
31.0,Travel_Rarely,691.0,Research & Development,5.0,Master,Technical Degree,High,Male,86.0,High,1.0,Research Scientist,Very High,Married,4821.0,10077.0,0.0,Yes,12.0,Excellent,High,4.0,Better,No,Age_group 2,Distance_2,HourlyRate_4,Income_3,Rate_2,DailyRate_3,PercentSalaryHike_1
31.0,Travel_Rarely,106.0,Human Resources,2.0,Bachelor,Human Resources,Low,Male,62.0,Medium,2.0,Human Resources,Low,Married,6410.0,17822.0,3.0,No,12.0,Excellent,Very High,2.0,Better,No,Age_group 2,Distance_1,HourlyRate_3,Income_4,Rate_4,DailyRate_1,PercentSalaryHike_1
45.0,Travel_Frequently,1249.0,Research & Development,7.0,Bachelor,Life Sciences,Low,Male,97.0,High,3.0,Laboratory Technician,Low,Divorced,5210.0,20308.0,1.0,No,18.0,Excellent,Low,2.0,Better,No,Age_group 4,Distance_3,HourlyRate_5,Income_3,Rate_4,DailyRate_5,PercentSalaryHike_4
31.0,Travel_Rarely,192.0,Research & Development,2.0,Master,Life Sciences,High,Male,32.0,High,1.0,Research Scientist,Very High,Divorced,2695.0,7747.0,0.0,Yes,18.0,Excellent,Medium,2.0,Bad,No,Age_group 2,Distance_1,HourlyRate_1,Income_1,Rate_2,DailyRate_1,PercentSalaryHike_4
33.0,Travel_Frequently,553.0,Research & Development,5.0,Bachelor,Life Sciences,Very High,Female,74.0,High,3.0,Manager,Medium,Married,11878.0,23364.0,6.0,No,11.0,Excellent,Medium,2.0,Better,No,Age_group 2,Distance_2,HourlyRate_4,Income_5,Rate_5,DailyRate_2,PercentSalaryHike_1
39.0,Travel_Rarely,117.0,Research & Development,10.0,Below College,Medical,High,Male,99.0,High,4.0,Manager,Low,Married,17068.0,5355.0,1.0,Yes,14.0,Excellent,Very High,3.0,Better,No,Age_group 4,Distance_4,HourlyRate_5,Income_5,Rate_1,DailyRate_1,PercentSalaryHike_3
43.0,Travel_Frequently,185.0,Research & Development,10.0,Master,Life Sciences,High,Female,33.0,High,1.0,Laboratory Technician,Very High,Single,2455.0,10675.0,0.0,No,19.0,Excellent,Low,5.0,Better,No,Age_group 4,Distance_4,HourlyRate_1,Income_1,Rate_2,DailyRate_1,PercentSalaryHike_4
49.0,Travel_Rarely,1091.0,Research & Development,1.0,College,Technical Degree,High,Female,90.0,Medium,4.0,Healthcare Representative,High,Single,13964.0,17810.0,7.0,No,12.0,Excellent,Very High,2.0,Better,No,Age_group 5,Distance_1,HourlyRate_5,Income_5,Rate_4,DailyRate_4,PercentSalaryHike_1
52.0,Travel_Rarely,723.0,Research & Development,8.0,Bachelor,Medical,High,Male,85.0,Medium,2.0,Research Scientist,Medium,Married,4941.0,17747.0,2.0,No,15.0,Excellent,Low,3.0,Good,Yes,Age_group 5,Distance_3,HourlyRate_4,Income_3,Rate_4,DailyRate_3,PercentSalaryHike_3
27.0,Travel_Rarely,1220.0,Research & Development,5.0,Bachelor,Life Sciences,High,Female,85.0,High,1.0,Research Scientist,Medium,Single,2478.0,20938.0,1.0,Yes,12.0,Excellent,Medium,2.0,Good,No,Age_group 1,Distance_2,HourlyRate_4,Income_1,Rate_4,DailyRate_4,PercentSalaryHike_1
32.0,Travel_Rarely,588.0,Sales,8.0,College,Technical Degree,High,Female,65.0,Medium,2.0,Sales Executive,Medium,Married,5228.0,24624.0,1.0,Yes,11.0,Excellent,Very High,2.0,Better,No,Age_group 2,Distance_3,HourlyRate_3,Income_3,Rate_5,DailyRate_2,PercentSalaryHike_1
27.0,Travel_Rarely,1377.0,Sales,2.0,Bachelor,Life Sciences,Very High,Male,74.0,High,2.0,Sales Executive,High,Single,4478.0,5242.0,1.0,Yes,11.0,Excellent,Low,3.0,Better,No,Age_group 1,Distance_1,HourlyRate_4,Income_3,Rate_1,DailyRate_5,PercentSalaryHike_1
31.0,Travel_Rarely,691.0,Sales,7.0,Bachelor,Marketing,Very High,Male,73.0,High,2.0,Sales Executive,Very High,Divorced,7547.0,7143.0,4.0,No,12.0,Excellent,Very High,3.0,Better,No,Age_group 2,Distance_3,HourlyRate_3,Income_4,Rate_2,DailyRate_3,PercentSalaryHike_1
